cliente,Etapa,Tipo de Negocio,Fecha de cierre,Fecha Fin Contrato,TCV,Propietario de oportunidad: Nombre completo,Quote Number,Tiempo de contrato,QuoteLine,Nombre del producto,Descripción,Tipo Cargo (Venta),MRC,Fabrica,Sector,No. de proyecto
Abilia,Closed won,Up Selling,13-abr-2020,13-abr-2022," $ 32,834.10 ",Berenice Altamirano Calderón (BAJA),Q-19698,24,QL-0316923,Licencia Trend Micro EndPoint Security,Licencia Trend Micro End Point Security,MRC," $ 1,368.09 ",APPLICATIONS MANAGEMENT,Admon. Pública (Gobierno),P-012660
Bulkmatic,Closed won,Up Selling,25-sep-2020,25-sep-2025," $ 1,246,615.17 ",Miguel Angel Mariel Tanus,Q-29502,60,QL-1134185,Protección Perimetral - Tecnología,FortiGate-601E Hardware plus 3 Year 24x7 FortiCare and FortiGuard Unified (UTM) Protection,MRC," $ 20,776.92 ",KIO CYBERSECURITY,,P-014515
Bulkmatic,Closed won,Up Selling,25-sep-2020,25-sep-2025," $ 1,106,820.00 ",Miguel Angel Mariel Tanus,Q-29502,60,QL-1134194,Add-on (paquete) - Network Security - onPremise FW - SOC - Managed Services (5 tickets),Servicio administrado de protección perimetral 3 equipos FW 5 tickets mensuales,MRC," $ 18,447.00 ",KIO CYBERSECURITY,,P-014515
Bulkmatic,Closed won,Up Selling,25-sep-2020,25-sep-2025," $ 402,480.00 ",Miguel Angel Mariel Tanus,Q-29502,60,QL-1134195,Add-on (paquete) - Network Security - onPremise FW - SOC - Managed Services (5 tickets),Servicio administrado de protección perimetral Forty Analyzer 5 tickets mensuales,MRC," $ 6,708.00 ",KIO CYBERSECURITY,,P-014515
Bulkmatic,Closed won,Up Selling,25-sep-2020,25-sep-2025," $ 393,773.25 ",Miguel Angel Mariel Tanus,Q-29502,60,QL-1134198,Protección Perimetral - Tecnología,"FortiGate-101F 1 Year Unified Threat Protection (UTP) (24x7 FortiCare plus Application Control, IPS, AMP, Web Filtering and Antispam Service",MRC," $ 6,562.89 ",KIO CYBERSECURITY,,P-014515
Bulkmatic,Closed won,Up Selling,25-sep-2020,25-sep-2025," $ 376,944.00 ",Miguel Angel Mariel Tanus,Q-29502,60,QL-1134197,Protección Perimetral - Tecnología,"FortiGate-601E 1 Year Unified Threat Protection (UTP) (24x7 FortiCare plus Application Control, IPS, AMP, Web Filtering and Antispam Service)",MRC," $ 6,282.40 ",KIO CYBERSECURITY,,P-014515
Bulkmatic,Closed won,Up Selling,25-sep-2020,25-sep-2025," $ 233,867.59 ",Miguel Angel Mariel Tanus,Q-29502,60,QL-1134187,Protección Perimetral - Tecnología,FortiGate-101F Hardware plus 3 Year 24x7 FortiCare and FortiGuard Unified (UTM) Protection,MRC," $ 3,897.79 ",KIO CYBERSECURITY,,P-014515
Bulkmatic,Closed won,Up Selling,25-sep-2020,25-sep-2025," $ 187,758.62 ",Miguel Angel Mariel Tanus,Q-29502,60,QL-1134188,Protección Perimetral - Tecnología,"Centralized log & analysis appliance - 4 x GE RJ45, 12 TB storage, up to 200 GB/Day of Logs.",MRC," $ 3,129.31 ",KIO CYBERSECURITY,,P-014515
Bulkmatic,Closed won,Up Selling,25-sep-2020,25-sep-2025," $ 150,000.00 ",Miguel Angel Mariel Tanus,Q-29502,60,QL-1164949,Servicios profesionales para instalación o configuración de tecnología de seguridad,Servicios profesionales con el siguiente alcances: 2 Certificaciones de ethical hacker 1 Curso interno de concienciación,MRC," $ 2,500.00 ",KIO CYBERSECURITY,,P-014515
Bulkmatic,Closed won,Up Selling,25-sep-2020,25-sep-2025," $ 143,379.31 ",Miguel Angel Mariel Tanus,Q-29502,60,QL-1134189,Protección Perimetral - Tecnología,FortiAnalyzer-400E 3 Year 24x7 FortiCare Contract,MRC," $ 2,389.66 ",KIO CYBERSECURITY,,P-014515
